Year	CAPRP
1999	0.0
2000	-0.9
2001	1.8
2002	1.8
2003	2.3
2004	3.2
2005	-0.5
2006	-0.3
2007	0.5
2008	0.3
2009	-1.3
2010	-4.5
2011	-3.0
2012	-1.0
