Year	CAPNP	LPNP	CPENP
1999	2.5	595.5	588.3
2000	2.4	6.1	3.5
2001	2.4	2.3	4.2
2002	2.4	2.7	3.7
2003	2.3	3.1	3.8
2004	2.5	5.3	3.3
2005	2.5	4.3	3.7
2006	2.5	3.4	3.5
2007	2.8	1.1	3.6
2008	2.5	1.7	3.5
2009	2.4	-2.7	2.3
2010	1.15	8.2	2.6
2011	1.65	2.1	1.6
2012	1.26	2.1	1.2
2013	1.24		
