Year	LPNP
1999	
2000	13.1
2001	8.1
2002	8.5
2003	9.2
2004	11.5
2005	7.5
2006	9.3
2007	9.4
2008	5.4
2009	-4.2
2010	6.5
2011	3.1
2012	3.4
2013	
