Year	LPNP
1999	
2000	6.5
2001	5.8
2002	1.1
2003	2.9
2004	3.8
2005	3.3
2006	5.8
2007	6.2
2008	6.1
2009	-1.4
2010	3.5
2011	2.8
2012	3.7
	
