Year	CAPNP	LPNP
1998		
1999	3.53	6.2
2000	4.2	7.5
2001	3.3	7.3
2002	5.34	4.6
2003	5.14	8.8
2004	4.93	4.9
2005	5.78	2.1
2006	6.44	6.0
2007	5.38	5.5
2008	6.2	3.2
2009	5.71	-0.3
2010	1.76	-1.3
2011	0.8	-0.5
2012	2.1	1.4
