Year	CAPRP
1998	
1999	0.0
2000	0.2
2001	3.4
2002	-0.7
2003	1.0
2004	1.2
2005	1.8
2006	2.2
2007	2.1
2008	2.8
2009	
2010	
2011	
2012	
