Year	CAPRI	LPRI
1998	100	
1999	102	101.0
2000	104	102.1
2001	106	102.4
2002	104	102.8
2003	104	103.6
2004	105	106.1
2005	106	107.3
2006	108	108.8
2007	109	109.7
2008	110	109.1
2009	112	107.1
2010	112	108.9
2011	112	110.3
2012	113	110.7
2013		
