Year	CAPRP
1998	
1999	2.0
2000	0.0
2001	-1.4
2002	4.2
2003	-0.8
2004	0.0
2005	0.2
2006	1.0
2007	0.3
2008	-0.6
2009	3.8
2010	-0.5
2011	-1.5
2012	0.7
