Year	CAPNI	LCNI
1998	100	
1999	103	100.6
2000	105	101.1
2001	108	101.5
2002	111	102.2
2003	113	103.1
2004	116	102.6
2005	117	101.7
2006	119	99.6
2007	122	98.9
2008	125	101.1
2009	129	106.8
2010	131	105.6
2011	134	107.0
2012	137	110.0
