Year	LPNP
1999	
2000	8.1
2001	11.2
2002	10.0
2003	8.9
2004	7.4
2005	6.2
2006	6.4
2007	7.8
2008	5.0
2009	-2.8
2010	2.3
2011	3.3
2012	-0.7
2013	
