Year	CAPNP
1999	3.9
2000	7.1
2001	6
2002	8.6
2003	3.9
2004	3.1
2005	4.7
2006	7.5
2007	3.9
2008	3.6
2009	3.3
2010	4
2011	3.6
2012	1.9
