Year	CAPRP
1999	1.0
2000	
2001	
2002	2.5
2003	-1.0
2004	0.0
2005	0.2
2006	
2007	0.2
2008	-0.3
2009	4.0
2010	-1.1
2011	-2.6
2012	0.0
2013	
