Year	CAPNP	CPENP
1998		
1999	1.8	
2000	2.9	3.8
2001	3.3	4.6
2002	2.2	1.7
2003	2.9	2.7
2004	2.4	3.7
2005	2.5	3.7
2006	1.7	2.9
2007	2.1	3.7
2008	4.3	4.4
2009	3.6	2.3
2010	2	1.8
2011	2.4	3.4
2012	1.9	3.0
2013		
