Year	CAPNP	LCNP
1999	3.35	
2000	3.93	2.8
2001	3.83	3.2
2002	3.90	3.1
2003	3.83	2.7
2004	3.55	2.5
2005	4.06	3.3
2006	3.94	3.1
2007	3.89	4.1
2008	3.88	5.6
2009	2.14	1.3
2010	2.19	-2.0
2011	3.17	-1.5
2012	1.5	-3.4
2013		
