Year	CAPNP
1999	2
2000	2.6
2001	3.7
2002	2.3
2003	2.9
2004	2.4
2005	2.6
2006	1.7
2007	1.8
2008	4.9
2009	3.4
2010	1.7
2011	2
2012	2.4
2013	1.9
