Year	CAPNP
1999	3.2
2000	1.9
2001	1.8
2002	2
2003	3.1
2004	1.8
2005	0.9
2006	0.4
2007	0.7
2008	4.4
2009	3.9
2010	0.8
2011	1.9
2012	2.2
