Year	CAPNI	LCNI	LPNI
1999		99.8	102.3
2000		99.3	106.0
2001		100.4	108.1
2002		100.5	111.4
2003		101.9	113.0
2004		101.4	117.1
2005		102.7	120.9
2006		103.8	125.6
2007		105.0	130.5
2008		109.9	129.0
2009		113.3	133.0
2010		114.3	133.7
2011		115.3	138.0
2012		119.2	140.6
2013			
