Year	CAPNP
1999	
2000	
2001	5.2
2002	2.8
2003	4.6
2004	2.5
2005	2.5
2006	3.1
2007	2
2008	2.5
2009	1.9
2010	2.8
2011	0.5
2012	
2013	1.7
