Year	CAPRP	LCRP
1999	0.0	11.7
2000	-0.4	-1.4
2001	-1.1	-3.4
2002		6.5
2003		-2.3
2004	0.9	-0.7
2005	-0.5	0.5
2006		-3.4
2007	0.5	-0.7
2008	0.3	0.3
2009	-1.3	3.8
2010	-4.5	-1.3
2011	-3.0	-2.9
2012	-1.0	-5.5
