Year	LPNP	CPENP
1998		
1999		
2000	11.6	7.7
2001	7.9	7.9
2002	9.5	5.4
2003	5.6	6.4
2004	3.2	5.2
2005	3.5	5.6
2006	4.2	4.3
2007	1.7	5.1
2008	-4.6	4.8
2009	-2.2	-1.3
2010	1.1	-3.2
2011	3.4	-0.2
2012	3.5	1.8
