Year	LCNP	LPNP
1998		
1999		
2000	0.4	3.6
2001	4.2	1.5
2002	2.3	3.5
2003	1.0	2.9
2004	-0.6	4.4
2005	1.4	2.7
2006	2.0	3.9
2007	2.2	3.6
2008	4.4	1.3
2009	3.9	-1.4
2010	-0.4	3.8
2011	2.7	2.4
2012	3.7	1.7
2013		
