Year	CAPNP	CPENP
1999		-22.9
2000		2.3
2001		2.7
2002		2.2
2003		2.5
2004		3.3
2005		2.7
2006	2.6	2.2
2007	3.9	2.0
2008	3.4	3.0
2009	3.0	-0.1
2010	2.6	2.2
2011	2.8	1.1
2012	2.6	0.0
2013	1.8	
