Year	CAPRP	LCRP	CPERP
1999	2.0		
2000	-0.5	-1.4	0.2
2001	-1.7	-0.8	-2.7
2002	2.5	-1.1	3.6
2003	-0.9	0.3	-1.3
2004	0.0	-2.1	-0.4
2005	0.2	-0.8	0.3
2006	1.0	-0.8	1.3
2007	0.2	-0.8	0.8
2008	-0.9	5.3	0.4
2009	4.0	-3.1	0.4
2010	-1.2	1.6	0.0
2011	-2.6	-1.3	-1.6
2012	0.0	1.1	0.4
2013			
