Year	LPNP
1999	
2000	10.9
2001	0.6
2002	4.8
2003	4.3
2004	0.7
2005	4.4
2006	4.2
2007	4.6
2008	4.4
2009	0.3
2010	4.0
2011	1.1
2012	0.9
2013	
