Year	CAPRP
1999	-1.1
2000	2.3
2001	-0.9
2002	3.3
2003	0.5
2004	1.5
2005	-1.0
2006	-0.1
2007	-0.2
2008	-2.1
2009	5.0
2010	-1.4
2011	-1.9
2012	0.4
2013	
