Year	CAPNP	CPENP
1998		
1999	2.72	
2000	3.72	2.8
2001	3.68	3.6
2002	3.85	3.4
2003	3.77	2.6
2004	3.6	2.1
2005	4.04	2.8
2006	3.59	3.2
2007	4.21	4.6
2008	3.6	6.7
2009	2.24	4.3
2010	2.16	0.2
2011	2.62	0.5
2012	1.31	-0.5
2013	0.57	
