Year	CAPNP
1999	1.5
2000	
2001	
2002	0.8
2003	2
2004	1.9
2005	2.3
2006	
2007	2.4
2008	3.3
2009	3.55
2010	0.94
2011	0.85
2012	2.56
2013	1
