Year	CAPNP
1999	2.6
2000	1.6
2001	2.3
2002	1.1
2003	2.5
2004	2.3
2005	2.2
2006	2.7
2007	2.4
2008	2.7
2009	3.5
2010	1.1
2011	1.1
2012	2.8
