Year	CAPNI	LPNI
1999		155.9
2000		230.5
2001		339.4
2002		486.9
2003		632.6
2004		806.0
2005		956.1
2006		1132.6
2007		1362.1
2008		1685.1
2009		1673.7
2010		1753.8
2011		1884.5
2012		1951.9
2013		
