Year	CAPNP	LCNP
1998		
1999	1.7	
2000	2.6	0.4
2001	3.1	4.2
2002	4.0	2.3
2003	2.0	1.0
2004	2.3	-0.6
2005	2.4	1.4
2006	2.3	2.0
2007	1.9	2.2
2008	3.1	4.4
2009	3.1	3.9
2010	0.7	-0.4
2011	2.4	2.7
2012	3.0	3.7
2013	1.94	
