Year	CPENP
1998	
1999	
2000	6.3
2001	4.0
2002	3.4
2003	3.5
2004	2.6
2005	4.7
2006	1.8
2007	3.6
2008	3.0
2009	2.8
2010	2.0
2011	-0.7
2012	-2.7
2013	
