Year	CAPNI	LCNI
1999		88.0
2000		88.6
2001		91.1
2002		94.2
2003		98.0
2004		100.0
2005	100	102.4
2006	103	104.4
2007	105	106.1
2008	109	110.9
2009	112	115.3
2010	115	115.0
2011	117	116.1
2012	118	118.5
