Year	CAPNP
1999	2.2
2000	1.8
2001	3
2002	1.8
2003	2.1
2004	1.9
2005	2
2006	2.7
2007	2.4
2008	3.1
2009	3.7
2010	1.5
2011	2.3
2012	3.58
2013	2.98
