Year	CAPNP	LCNP
1999	3.4	-19.6
2000	6.8	1.9
2001	6	-0.3
2002	4.2	10.2
2003	3.8	1.5
2004	6	2.2
2005	5.9	3.3
2006	5.6	-1.1
2007	5.6	2.6
2008	8	5.1
2009	2.5	6.2
2010	0	-0.1
2011	0	-1.8
2012	0	-6.5
