Year	CAPNI	LPNI
1999		102.8
2000		106.3
2001		111.2
2002		116.3
2003		121.0
2004		125.5
2005		130.2
2006		135.8
2007		140.8
2008		145.6
2009		150.1
2010		154.1
2011		158.6
2012		163.5
2013		
