Year	CAPRP
1999	
2000	
2001	-2.8
2002	5.9
2003	1.4
2004	1.0
2005	0.4
2006	2.7
2007	1.4
2008	-0.6
2009	-1.1
2010	-0.1
2011	0.0
2012	-0.6
