Year	CAPNP
1999	2.5
2000	2.5
2001	1.9
2002	2
2003	1.6
2004	1.5
2005	1.6
2006	1.6
2007	1.7
2008	1.7
2009	1.6
2010	2.7
2011	1.2
2012	1.3
2013	2
