Year	CAPRP
1999	2.6
2000	1.6
2001	0.9
2002	1.2
2003	1.1
2004	0.0
2005	-1.0
2006	-0.8
2007	-1.0
2008	-1.5
2009	1.0
2010	1.2
2011	-0.6
2012	0.6
