Year	CAPRP
1999	2.3
2000	0.5
2001	1.7
2002	0.6
2003	1.5
2004	0.9
2005	0.0
2006	0.5
2007	-0.5
2008	-0.9
2009	1.9
2010	0.2
2011	-2.2
2012	0.4
