Year	CAPRP
1999	0.8
2000	0.1
2001	1.0
2002	0.9
2003	0.9
2004	1.9
2005	1.1
2006	1.0
2007	1.2
2008	0.4
2009	2.9
2010	1.5
2011	-1.6
2012	-1.3
2013	
