Year	CAPRP	CPERP
1999	2.6	-17.2
2000	1.6	0.4
2001	0.9	-0.2
2002	1.2	0.0
2003	1.1	0.4
2004	0.0	-1.4
2005	-1.0	-2.0
2006	-0.8	-0.7
2007	-1.0	-1.5
2008	-1.5	-0.6
2009	1.0	-0.1
2010	1.2	1.2
2011	-0.6	0.5
2012	0.6	0.3
