Year	CAPNP	LPNP
1998		
1999	2.5	2.3
2000	2	3.6
2001	2.6	2.0
2002	2.5	3.1
2003	2.2	1.4
2004	2	3.7
2005	2.3	3.3
2006	2.7	3.9
2007	2.5	3.9
2008	3	-1.2
2009	3.4	3.1
2010	1.6	0.5
2011	2	3.2
2012	3.3	1.9
