Year	LPNP
1999	-20.6
2000	3.7
2001	2.7
2002	1.9
2003	1.6
2004	3.7
2005	2.2
2006	1.9
2007	2.8
2008	1.1
2009	-1.9
2010	2.9
2011	1.4
2012	-0.5
