Year	LCNP
1998	
1999	
2000	1.6
2001	5.6
2002	1.3
2003	4.4
2004	4.2
2005	4.6
2006	3.6
2007	4.0
2008	6.4
2009	-3.8
2010	-6.4
2011	-3.3
2012	0.7
