Year	LCNP
1999	
2000	0.5
2001	4.4
2002	3.3
2003	2.3
2004	0.4
2005	2.2
2006	2.2
2007	4.8
2008	6.1
2009	6.1
2010	-1.0
2011	0.4
2012	0.2
2013	
