Year	LPNP
1998	
1999	5637.9
2000	13.3
2001	15.6
2002	13.4
2003	9.5
2004	11.3
2005	6.9
2006	7.1
2007	4.8
2008	8.2
2009	-1.0
2010	3.1
2011	4.4
2012	1.3
2013	
