Year	CAPNP
1999	2.9
2000	1.9
2001	3.6
2002	2
2003	2.5
2004	2.7
2005	1.9
2006	2.3
2007	1.8
2008	1.8
2009	2.1
2010	1.4
2011	0.2
2012	2.5
