Year	CAPNI	LCNI
1999		102.2
2000		102.7
2001		107.2
2002		110.7
2003		113.2
2004		113.7
2005		116.2
2006		118.7
2007		124.4
2008		132.0
2009		140.1
2010		138.7
2011		139.3
2012		139.5
2013		
2014		
