Year	LCRP
1998	
1999	
2000	3.7
2001	2.7
2002	-1.1
2003	-1.5
2004	-1.2
2005	-0.7
2006	-2.4
2007	1.4
2008	-0.1
2009	2.3
2010	-3.1
2011	-1.7
2012	1.9
2013	
