Year	CAPNP
1999	1.5
2000	2.4
2001	2.6
2002	2.4
2003	2.2
2004	1.9
2005	2
2006	2.2
2007	2.8
2008	2.8
2009	2.7
2010	1.1
2011	1.5
2012	3.4
2013	
