Year	LCNI
1999	98.8
2000	104.0
2001	109.3
2002	109.8
2003	110.1
2004	109.1
2005	109.3
2006	108.8
2007	113.3
2008	116.8
2009	122.0
2010	119.2
2011	118.5
2012	121.6
2013	
