Year	LCNP
1999	
2000	0.6
2001	3.6
2002	0.8
2003	0.8
2004	-0.1
2005	2.2
2006	0.3
2007	0.5
2008	6.7
2009	9.0
2010	-1.6
2011	1.8
2012	3.3
	
