Year	CAPRP	LCRP	LPRP
1999	0.0	11.7	-13.7
2000	-0.4	-1.4	4.0
2001	-1.1	-3.4	4.1
2002		6.5	1.2
2003		-2.3	4.7
2004	0.9	-0.7	1.9
2005	-0.5	0.5	-0.7
2006		-3.4	3.5
2007	0.5	-0.7	2.1
2008	0.3	0.3	-1.4
2009	-1.3	3.8	-2.5
2010	-4.5	-1.3	-2.4
2011	-3.0	-2.9	-1.6
2012	-1.0	-5.5	2.5
