Year	CAPNP
1999	2.5
2000	2.5
2001	2.5
2002	2.4
2003	2
2004	2.1
2005	2.3
2006	2.4
2007	3.2
2008	2.3
2009	2.3
2010	1
2011	1.7
2012	
2013	
