Year	CAPRP	LPRP
1998		
1999	1.4	3.1
2000	1.3	4.0
2001	-0.3	4.1
2002	1.4	1.2
2003	1.6	4.7
2004	1.8	1.9
2005	2.2	-0.7
2006	3.0	3.5
2007	2.3	2.1
2008	1.9	-1.4
2009	4.3	-2.5
2010	-2.8	-2.4
2011	-2.2	-1.6
2012	1.1	2.5
