Year	CAPNP	CPENP
1998		
1999	3.6	
2000	3.4	6.3
2001	4	4.0
2002	3.8	3.4
2003	2.9	3.5
2004	2.9	2.6
2005	2.7	4.7
2006	2.7	1.8
2007	2.9	3.6
2008	3.1	3.0
2009	2.9	2.8
2010	2.4	2.0
2011	1.5	-0.7
2012	1.4	-2.7
2013	1.00	
