Year	LPNP
1999	
2000	5.9
2001	4.0
2002	2.2
2003	1.3
2004	4.2
2005	2.0
2006	3.4
2007	6.2
2008	0.7
2009	-4.7
2010	3.8
2011	4.8
2012	2.3
2013	
