Year	LPNP	CPENP
1998		
1999		
2000	0.6	1.8
2001	2.4	1.7
2002	2.0	1.3
2003	1.6	1.4
2004	1.9	0.3
2005	1.5	-0.1
2006	3.5	1.0
2007	3.2	0.8
2008	0.6	2.1
2009	-4.1	0.2
2010	4.5	2.4
2011	2.4	3.0
2012	0.9	2.5
2013		
