Year	CAPNP	LCNP	LPNP
1999	3.7	-19.6	-37.9
2000	4.4	1.9	7.5
2001	8	-0.3	7.3
2002	5	10.2	4.6
2003		1.5	8.8
2004	6.6	2.2	4.9
2005	6	3.3	2.1
2006	6	-1.1	6.0
2007	5.7	2.6	5.5
2008	7	5.1	3.2
2009	7	6.2	-0.3
2010	0	-0.1	-1.3
2011	0	-1.8	-0.5
2012	0	-6.5	1.4
