Year	CAPNP	CPENP
1998		
1999	2.5	1.8
2000	2	2.2
2001	2.6	1.2
2002	2.5	1.9
2003	2.2	1.6
2004	2	1.5
2005	2.3	2.4
2006	2.7	3.0
2007	2.5	3.1
2008	3	4.1
2009	3.4	0.0
2010	1.6	2.1
2011	2	1.9
2012	3.3	3.0
2013	2.6	
