Year	CAPNP
1999	1.7
2000	3.8
2001	3.1
2002	2.3
2003	2.6
2004	2.1
2005	2.1
2006	2.4
2007	1.8
2008	3.4
2009	3.8
2010	2.9
2011	0.5
2012	2.5
2013	
