Year	LCNP
1998	
1999	
2000	0.4
2001	4.2
2002	2.3
2003	1.0
2004	-0.6
2005	1.4
2006	2.0
2007	2.2
2008	4.4
2009	3.9
2010	-0.4
2011	2.7
2012	3.7
2013	
