Year	CAPNP
1998	
1999	
2000	
2001	4.4
2002	3.6
2003	2.8
2004	1.3
2005	0.7
2006	2
2007	2.1
2008	3.3
2009	2.8
2010	1.3
2011	1.1
2012	1.4
