Year	CAPNP	LCNP
1999	5.5	-19.6
2000	5	1.9
2001	3.1	-0.3
2002	5.8	10.2
2003	4.5	1.5
2004	5.9	2.2
2005	6.5	3.3
2006	6	-1.1
2007	6	2.6
2008	5.5	5.1
2009	6.7	6.2
2010	6.1	-0.1
2011	1.6	-1.8
2012	1.6	-6.5
